C행정구역별,행정구역별,C산업별,업종명,데이터업종명,C조직형태별,조직형태별,시점,사업체수 (개),종사자수 (명)
'00,전국,'C3399,그 외 기타 분류 안된 제품 제조업,,'0,계,2018,1839,12138
'00,전국,'C33991,단추 및 유사 파스너 제조업,,'0,계,2018,649,3265
'00,전국,'C33992,"라이터, 연소물 및 흡연용품 제조업",,'0,계,2018,231,1885
'00,전국,'C33993,비 및 솔 제조업,,'0,계,2018,360,3513
'00,전국,'C33999,그 외 기타 달리 분류되지 않은 제품 제조업,,'0,계,2018,599,3475
'00,전국,'C34,산업용 기계 및 장비 수리업,,'0,계,2018,13879,53158
'00,전국,'C340,산업용 기계 및 장비 수리업,,'0,계,2018,13879,53158
'00,전국,'C3401,일반 기계류 수리업,,'0,계,2018,11445,41417
'00,전국,'C34011,건설?광업용 기계 및 장비 수리업,,'0,계,2018,1322,4870
'00,전국,'C34019,기타 일반 기계 및 장비 수리업,,'0,계,2018,10123,36547
'00,전국,'C3402,전기?전자 및 정밀기기 수리업,,'0,계,2018,2434,11741
'00,전국,'C34020,전기?전자 및 정밀기기 수리업,,'0,계,2018,2434,11741
'00,전국,'D,"전기, 가스, 증기 및 공기조절 공급업(35)",,'0,계,2018,2344,65472
'00,전국,'D35,"전기, 가스, 증기 및 공기조절 공급업",,'0,계,2018,2344,65472
'00,전국,'D351,전기업,,'0,계,2018,1952,49796
'00,전국,'D3511,발전업,,'0,계,2018,1587,28824
'00,전국,'D35111,원자력 발전업,,'0,계,2018,5,8413
'00,전국,'D35112,수력 발전업,,'0,계,2018,40,2211
'00,전국,'D35113,화력 발전업,,'0,계,2018,172,14840
'00,전국,'D35114,태양력 발전업,,'0,계,2018,1250,2660
'00,전국,'D35119,기타 발전업,,'0,계,2018,120,700
'00,전국,'D3512,송전 및 배전업,,'0,계,2018,137,5009
'00,전국,'D35120,송전 및 배전업,,'0,계,2018,137,5009
'00,전국,'D3513,전기 판매업,,'0,계,2018,228,15963
'00,전국,'D35130,전기 판매업,,'0,계,2018,228,15963
'00,전국,'D352,연료용 가스 제조 및 배관공급업,,'0,계,2018,281,11209
'00,전국,'D3520,연료용 가스 제조 및 배관공급업,,'0,계,2018,281,11209
'00,전국,'D35200,연료용 가스 제조 및 배관공급업,,'0,계,2018,281,11209
'00,전국,'D353,"증기, 냉?온수 및 공기조절 공급업",,'0,계,2018,111,4467
'00,전국,'D3530,"증기, 냉?온수 및 공기조절 공급업",,'0,계,2018,111,4467
'00,전국,'D35300,"증기, 냉?온수 및 공기조절 공급업",,'0,계,2018,111,4467
'00,전국,'E,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",,'0,계,2018,8972,108906
'00,전국,'E36,수도업,,'0,계,2018,550,18043
'00,전국,'E360,수도업,,'0,계,2018,550,18043
'00,전국,'E3601,생활용수 공급업,,'0,계,2018,525,17504
'00,전국,'E36010,생활용수 공급업,,'0,계,2018,525,17504
'00,전국,'E3602,산업용수 공급업,,'0,계,2018,25,539
'00,전국,'E36020,산업용수 공급업,,'0,계,2018,25,539
'00,전국,'E37,"하수, 폐수 및 분뇨 처리업",,'0,계,2018,1822,18597
'00,전국,'E370,"하수, 폐수 및 분뇨 처리업",,'0,계,2018,1822,18597
'00,전국,'E3701,하수 및 폐수 처리업,,'0,계,2018,980,14444
'00,전국,'E37011,하수 처리업,,'0,계,2018,673,10611
'00,전국,'E37012,폐수 처리업,,'0,계,2018,307,3833
'00,전국,'E3702,분뇨 처리업,,'0,계,2018,842,4153
'00,전국,'E37021,사람 분뇨 처리업,,'0,계,2018,686,3402
'00,전국,'E37022,축산 분뇨 처리업,,'0,계,2018,156,751
'00,전국,'E38,"폐기물 수집, 운반, 처리 및 원료 재생업",,'0,계,2018,6484,71023
'00,전국,'E381,"폐기물 수집, 운반업",,'0,계,2018,2763,31169
'00,전국,'E3811,"지정 외 폐기물 수집, 운반업",,'0,계,2018,1540,23604
'00,전국,'E38110,"지정 외 폐기물 수집, 운반업",,'0,계,2018,1540,23604
'00,전국,'E3812,"지정 폐기물 수집, 운반업",,'0,계,2018,601,4156
'00,전국,'E38120,"지정 폐기물 수집, 운반업",,'0,계,2018,601,4156
'00,전국,'E3813,"건설 폐기물 수집, 운반업",,'0,계,2018,622,3409
'00,전국,'E38130,"건설 폐기물 수집, 운반업",,'0,계,2018,622,3409
'00,전국,'E382,폐기물 처리업,,'0,계,2018,1415,23210
'00,전국,'E3821,지정 외 폐기물 처리업,,'0,계,2018,535,11890
'00,전국,'E38210,지정 외 폐기물 처리업,,'0,계,2018,535,11890
'00,전국,'E3822,지정 폐기물 처리업,,'0,계,2018,216,2438
'00,전국,'E38220,지정 폐기물 처리업,,'0,계,2018,216,2438
'00,전국,'E3823,건설 폐기물 처리업,,'0,계,2018,662,8518
'00,전국,'E38230,건설 폐기물 처리업,,'0,계,2018,662,8518
'00,전국,'E3824,"방사성 폐기물 수집, 운반 및 처리업",,'0,계,2018,2,X
'00,전국,'E38240,"방사성 폐기물 수집, 운반 및 처리업",,'0,계,2018,2,X
'00,전국,'E383,"해체, 선별 및 원료 재생업",,'0,계,2018,2306,16644
'00,전국,'E3831,"금속류 해체, 선별 및 원료 재생업",,'0,계,2018,1179,8343
'00,전국,'E38311,금속류 해체 및 선별업,,'0,계,2018,789,4872
'00,전국,'E38312,금속류 원료 재생업,,'0,계,2018,390,3471
'00,전국,'E3832,"비금속류 해체, 선별 및 원료 재생업",,'0,계,2018,1127,8301
'00,전국,'E38321,비금속류 해체 및 선별업,,'0,계,2018,201,1756
'00,전국,'E38322,비금속류 원료 재생업,,'0,계,2018,926,6545
'00,전국,'E39,환경 정화 및 복원업,,'0,계,2018,116,1243
'00,전국,'E390,환경 정화 및 복원업,,'0,계,2018,116,1243
'00,전국,'E3900,환경 정화 및 복원업,,'0,계,2018,116,1243
'00,전국,'E39001,토양 및 지하수 정화업,,'0,계,2018,42,512
'00,전국,'E39009,기타 환경 정화 및 복원업,,'0,계,2018,74,731
'00,전국,'F,건설업(41~42),,'0,계,2018,142840,1481673
'00,전국,'F41,종합 건설업,,'0,계,2018,28662,440607
'00,전국,'F411,건물 건설업,,'0,계,2018,14390,236030
'00,전국,'F4111,주거용 건물 건설업,,'0,계,2018,9195,143747
'00,전국,'F41111,단독 주택 건설업,,'0,계,2018,6383,53650
'00,전국,'F41112,아파트 건설업,,'0,계,2018,1037,65497
'00,전국,'F41119,기타 공동 주택 건설업,,'0,계,2018,1775,24600
'00,전국,'F4112,비주거용 건물 건설업,,'0,계,2018,5195,92283
'00,전국,'F41121,사무?상업용 및 공공기관용 건물 건설업,,'0,계,2018,3031,63340
'00,전국,'F41122,제조업 및 유사 산업용 건물 건설업,,'0,계,2018,703,13401
'00,전국,'F41129,기타 비주거용 건물 건설업,,'0,계,2018,1461,15542
'00,전국,'F412,토목 건설업,,'0,계,2018,14272,204577
'00,전국,'F4121,지반조성 건설업,,'0,계,2018,738,10648
'00,전국,'F41210,지반조성 건설업,,'0,계,2018,738,10648
'00,전국,'F4122,토목시설물 건설업,,'0,계,2018,13534,193929
'00,전국,'F41221,도로 건설업,,'0,계,2018,1943,40694
'00,전국,'F41222,"교량, 터널 및 철도 건설업",,'0,계,2018,358,12633
'00,전국,'F41223,"항만, 수로, 댐 및 유사 구조물 건설업",,'0,계,2018,226,2750
'00,전국,'F41224,환경설비 건설업,,'0,계,2018,707,7398
'00,전국,'F41225,산업생산시설 종합건설업,,'0,계,2018,2159,44892
'00,전국,'F41226,조경 건설업,,'0,계,2018,4142,36737
'00,전국,'F41229,기타 토목시설물 건설업,,'0,계,2018,3999,48825
'00,전국,'F42,전문직별 공사업,,'0,계,2018,114178,1041066
'00,전국,'F421,기반조성 및 시설물 축조관련 전문공사업,,'0,계,2018,19709,300535
'00,전국,'F4211,건물 및 구축물 해체 공사업,,'0,계,2018,2393,16940
'00,전국,'F42110,건물 및 구축물 해체 공사업,,'0,계,2018,2393,16940
'00,전국,'F4212,기반조성 관련 전문공사업,,'0,계,2018,4445,69948
'00,전국,'F42121,토공사업,,'0,계,2018,3126,55989
'00,전국,'F42122,"보링, 그라우팅 및 관정 공사업",,'0,계,2018,960,7814
'00,전국,'F42123,파일공사 및 축조관련 기초 공사업,,'0,계,2018,288,4027
'00,전국,'F42129,기타 기반조성 관련 전문공사업,,'0,계,2018,71,2118
'00,전국,'F4213,시설물 축조 관련 전문공사업,,'0,계,2018,12871,213647
'00,전국,'F42131,철골 및 관련 구조물 공사업,,'0,계,2018,2140,21514
'00,전국,'F42132,콘크리트 및 철근 공사업,,'0,계,2018,5267,131916
'00,전국,'F42133,조적 및 석 공사업,,'0,계,2018,934,12129
'00,전국,'F42134,포장 공사업,,'0,계,2018,1810,19822
'00,전국,'F42135,철도궤도 전문공사업,,'0,계,2018,43,1161
'00,전국,'F42136,수중 공사업,,'0,계,2018,264,2806
'00,전국,'F42137,비계 및 형틀 공사업,,'0,계,2018,609,10690
'00,전국,'F42138,"지붕, 내?외벽 축조 관련 전문 공사업",,'0,계,2018,795,5510
'00,전국,'F42139,기타 옥외 시설물 축조 관련 전문공사업,,'0,계,2018,1009,8099
'00,전국,'F422,건물설비 설치 공사업,,'0,계,2018,22815,182908
'00,전국,'F4220,건물설비 설치 공사업,,'0,계,2018,22815,182908
'00,전국,'F42201,배관 및 냉ㆍ난방 공사업,,'0,계,2018,15965,96941
'00,전국,'F42202,건물용 기계?장비 설치 공사업,,'0,계,2018,3466,47827
'00,전국,'F42203,"방음, 방진 및 내화 공사업",,'0,계,2018,376,3167
'00,전국,'F42204,소방시설 공사업,,'0,계,2018,2032,29135
'00,전국,'F42209,기타 건물 관련설비 설치 공사업,,'0,계,2018,976,5838
'00,전국,'F423,전기 및 통신 공사업,,'0,계,2018,17904,208457
'00,전국,'F4231,전기 공사업,,'0,계,2018,12580,142329
'00,전국,'F42311,일반전기 공사업,,'0,계,2018,4497,60630
'00,전국,'F42312,내부 전기배선 공사업,,'0,계,2018,8083,81699
'00,전국,'F4232,통신 공사업,,'0,계,2018,5324,66128
'00,전국,'F42321,일반 통신 공사업,,'0,계,2018,1727,28741
'00,전국,'F42322,내부 통신배선 공사업,,'0,계,2018,3597,37387
'00,전국,'F424,실내건축 및 건축마무리 공사업,,'0,계,2018,44791,257734
